Kristis Pet Care and Adoption,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/mi/4970-locust-ave/kristis-pet-care-and-adoption-mi587/
City of San José Animal Care Center,2750 Monterey Road,"San Jose,",CA,95112,NotAvailable,https://www.petfinder.com/member/us/ca/san-jose/city-of-san-jose-animal-care-center-ca595/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
TLC with PUPS,PO Box 754,"Colton,",CA,92324,951-742-8689,https://www.petfinder.com/member/us/ca/colton/tlc-with-pups-ca1316/
Humane Society of Scott County Indiana,PO Box 711,"Scottsburg,",IN,47170,812-752-7500,https://www.petfinder.com/member/us/in/scottsburg/humane-society-of-scott-county-indiana-in428/
Humane Society of Scott County Indiana,PO Box 711,"Scottsburg,",IN,47170,812-752-7500,https://www.petfinder.com/member/us/in/scottsburg/humane-society-of-scott-county-indiana-in428/
Humane Society of Scott County Indiana,PO Box 711,"Scottsburg,",IN,47170,812-752-7500,https://www.petfinder.com/member/us/in/scottsburg/humane-society-of-scott-county-indiana-in428/
PPAW Spay Neuter Clinic,"6869 Morganton Rd
                    

                        PO Box 68","Greenback,",TN,37742,865-856-7729,https://www.petfinder.com/member/us/tn/greenback/ppaw-spay-neuter-clinic-tn127/
Watonwan County Humane Society,"Box 346
                    

                        1309 Weston Ave North","Saint James,",MN,56081,NotAvailable,https://www.petfinder.com/member/us/mn/saint-james/watonwan-county-humane-society-mn56/
Miami-Dade Animal Services,7401 Northwest 74 Street,"Miami,",FL,33166,305-418-7149,https://www.petfinder.com/member/us/fl/miami/miami-dade-animal-services-fl205/
Miami-Dade Animal Services,7401 Northwest 74 Street,"Miami,",FL,33166,305-418-7149,https://www.petfinder.com/member/us/fl/miami/miami-dade-animal-services-fl205/
"Seaside Animal Rescue, Inc.",1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/fl/santa-rosa-beach/seaside-animal-rescue-inc-fl1048/
Rhea County  Animal Shelter,9118 Back Valley Road,"Evensville,",TN,37332,NotAvailable,https://www.petfinder.com/member/us/tn/evensville/rhea-county-animal-shelter-tn529/
Montgomery County SPCA,1059 Sweisford Road,"Perkiomenville,",PA,18074,(610) 754-7822,https://www.petfinder.com/member/us/pa/perkiomenville/montgomery-county-spca-pa171/
Potsdam Humane Society Inc.,17 Madrid Ave.,"Potsdam,",NY,13676,(315) 265-3199,https://www.petfinder.com/member/us/ny/potsdam/potsdam-humane-society-inc-ny395/
"Homeless Tails, Inc.",P.O. Box 1422,"Wayne,",NJ,07474,NotAvailable,https://www.petfinder.com/member/us/nj/wayne/homeless-tails-inc-nj297/
Huron Humane Society,NA,"Alpena,",MI,49707,989-356-4794,https://www.petfinder.com/member/us/mi/alpena/huron-humane-society-mi326/
Child and Pet Relief Fund [CPR Fund],PO Box 303,"Lowell,",IN,46356,NotAvailable,https://www.petfinder.com/member/us/in/lowell/child-and-pet-relief-fund-cpr-fund-in246/
F.I.N.O. Doggie Rescue Inc. * Non-for-Profit,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/fl/parkland/f-dot-in-dot-o-doggie-rescue-inc-star-non-for-profit-fl332/
Muskegon Humane Society,2640 Marquette  Avenue,"Muskegon,",MI,49442,(231) 773-8689,https://www.petfinder.com/member/us/mi/muskegon/muskegon-humane-society-mi846/
Friends of Lord Stirling Stable,"256 S. Maple Ave
                    

                        Lord Stirling Stable","Basking Ridge,",NJ,07920,9087665955,https://www.petfinder.com/member/us/nj/basking-ridge/friends-of-lord-stirling-stable-nj481/
Child and Pet Relief Fund [CPR Fund],PO Box 303,"Lowell,",IN,46356,NotAvailable,https://www.petfinder.com/member/us/in/lowell/child-and-pet-relief-fund-cpr-fund-in246/
"A Place For Cats, Inc.",P.O. Box 312,"Delevan,",NY,14042,716-574-1320,https://www.petfinder.com/member/us/ny/delevan/a-place-for-cats-inc-ny1294/
Solutions for Animals Inc.,PO Box 2062,"Southern Pines,",NC,28388,(910) 875-7244,https://www.petfinder.com/member/us/nc/southern-pines/solutions-for-animals-inc-nc79/
Montgomery County SPCA,1059 Sweisford Road,"Perkiomenville,",PA,18074,(610) 754-7822,https://www.petfinder.com/member/us/pa/perkiomenville/montgomery-county-spca-pa171/
Rhea County  Animal Shelter,9118 Back Valley Road,"Evensville,",TN,37332,NotAvailable,https://www.petfinder.com/member/us/tn/evensville/rhea-county-animal-shelter-tn529/
"Homeless Tails, Inc.",P.O. Box 1422,"Wayne,",NJ,07474,NotAvailable,https://www.petfinder.com/member/us/nj/wayne/homeless-tails-inc-nj297/
Cairn Rescue USA- Central and Midwest,10 Main St.,"St. Charles,",IL,60174,No phone calls please,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Cairn Rescue USA- Central and Midwest,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Cairn Rescue USA- Central and Midwest,7214A N. Rogers Ave.,"Chicago,",IL,60645,No phone calls please,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
"A Place For Cats, Inc.",P.O. Box 312,"Delevan,",NY,14042,716-574-1320,https://www.petfinder.com/member/us/ny/delevan/a-place-for-cats-inc-ny1294/
Engelman Rescue,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/ca/los-angeles/engelman-rescue-ca1910/
Rhea County  Animal Shelter,9118 Back Valley Road,"Evensville,",TN,37332,NotAvailable,https://www.petfinder.com/member/us/tn/evensville/rhea-county-animal-shelter-tn529/
6Dogrees Rescue,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/wa/seattle/6dogrees-rescue-wa581/
Warrenton Animal Shelter,314 Coleman Drive,"Warrenton,",MO,63383,(636) 456-8707,https://www.petfinder.com/member/us/mo/warrenton/warrenton-animal-shelter-mo431/
The Humane Association of N Kentucky Shelters,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/ky/florence/the-humane-association-of-n-kentucky-shelters-ky187/
"Seaside Animal Rescue, Inc.",1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/fl/santa-rosa-beach/seaside-animal-rescue-inc-fl1048/
Cairn Rescue USA- Central and Midwest,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Happy Hearts Feline Rescue,10905 E. Pleasant Lake Rd.,"Manchester,",MI,48158,734-545-2906,https://www.petfinder.com/member/us/mi/manchester/happy-hearts-feline-rescue-mi951/
Feline Friends of Destin,4421 Commons Dr E # B106,"Destin,",FL,32541,850-837-3869,https://www.petfinder.com/member/us/fl/destin/feline-friends-of-destin-fl71/
Red River SPCA,"Tranquility Base Farm
                    

                        1215 Cooke County Road 140","Whitesboro,",TX,76273,NotAvailable,https://www.petfinder.com/member/us/tx/whitesboro/red-river-spca-tx109/
Cairn Rescue USA- Central and Midwest,10 Main St.,"St. Charles,",IL,60174,No phone calls please,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Cairn Rescue USA- Central and Midwest,7214A N. Rogers Ave.,"Chicago,",IL,60645,No phone calls please,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Rhea County  Animal Shelter,9118 Back Valley Road,"Evensville,",TN,37332,NotAvailable,https://www.petfinder.com/member/us/tn/evensville/rhea-county-animal-shelter-tn529/
6Dogrees Rescue,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/wa/seattle/6dogrees-rescue-wa581/
"A Place For Cats, Inc.",P.O. Box 312,"Delevan,",NY,14042,716-574-1320,https://www.petfinder.com/member/us/ny/delevan/a-place-for-cats-inc-ny1294/
Stray Cat Relief Fund,PO Box 54845,"Philadelphia,",PA,19148,(267) 507-5297,https://www.petfinder.com/member/us/pa/philadelphia/stray-cat-relief-fund-pa1036/
Rhea County  Animal Shelter,9118 Back Valley Road,"Evensville,",TN,37332,NotAvailable,https://www.petfinder.com/member/us/tn/evensville/rhea-county-animal-shelter-tn529/
"The Nature Network, Inc.",P.O. Box  66790,"Los Angeles,",CA,90066,NotAvailable,https://www.petfinder.com/member/us/ca/los-angeles/the-nature-network-inc-ca861/
Protectors of Animal Welfare (P.A.W.),"2031 48th Street
                    

                        P.O. Box 181","Fort Madison,",IA,52627,319-372-2274,https://www.petfinder.com/member/us/ia/fort-madison/protectors-of-animal-welfare-p-dot-aw-dot-ia55/
Forgotten Tails Animal Rescue,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/tx/fort-worth/forgotten-tails-animal-rescue-tx1458/
6Dogrees Rescue,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/wa/seattle/6dogrees-rescue-wa581/
sniffydogs.petfinder.com,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/mi/kentwood/sniffydogs-dot-petfinder-dot-com-mi255/
"Seaside Animal Rescue, Inc.",1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/fl/santa-rosa-beach/seaside-animal-rescue-inc-fl1048/
"Seaside Animal Rescue, Inc.",1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/fl/santa-rosa-beach/seaside-animal-rescue-inc-fl1048/
Canine Crusaders of Atlanta,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/ga/acworth/canine-crusaders-of-atlanta-ga491/
Cairn Rescue USA- Central and Midwest,10 Main St.,"St. Charles,",IL,60174,No phone calls please,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Cairn Rescue USA- Central and Midwest,1059 Sweisford Road,"Perkiomenville,",PA,18074,NotAvailable,https://www.petfinder.com/member/us/il/chicago/cairn-rescue-usa-central-and-midwest-il233/
Warrenton Animal Shelter,314 Coleman Drive,"Warrenton,",MO,63383,636 456-8707,https://www.petfinder.com/member/us/mo/warrenton/warrenton-animal-shelter-mo431/
"Homeless Tails, Inc.",P.O. Box 1422,"Wayne,",NJ,07474,NotAvailable,https://www.petfinder.com/member/us/nj/wayne/homeless-tails-inc-nj297/
Paws Patrol,"750 W. Cmo Casa Verde
                    

                        P.O. Box 1642","Green Valley,",AZ,85622,(520) 207-4024,https://www.petfinder.com/member/us/az/green-valley/paws-patrol-az246/
Animal Education and Rescue,PO Box 7343,"Libertyville,",IL,60048,(847) 816-0831,https://www.petfinder.com/member/us/il/libertyville/animal-education-and-rescue-il265/
Montgomery County SPCA,1059 Sweisford Road,"Perkiomenville,",PA,18074,(610) 754-7822,https://www.petfinder.com/member/us/pa/perkiomenville/montgomery-county-spca-pa171/
"Homeless Tails, Inc.",P.O. Box 1422,"Wayne,",NJ,07474,NotAvailable,https://www.petfinder.com/member/us/nj/wayne/homeless-tails-inc-nj297/
Humane Society of Southeast Texas,"2050 Spindletop Rd
                    

                        P.O. Box 1629","Beaumont,",TX,77704,(409) 833-0504,https://www.petfinder.com/member/us/tx/beaumont/humane-society-of-southeast-texas-tx155/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
Friends of Horn Lake Animal Shelter,6410 E. Center St.,"Horn Lake,",MS,38637,662-393-5857,https://www.petfinder.com/member/us/ms/horn-lake/friends-of-horn-lake-animal-shelter-ms71/
